codigo_producto,producto_dossier,producto_comp,item_padre,desc_item_padre,codigo_mp,desc_mp,lista_proveedor,cantidad_kg,pct_masa_total,pct_masa_formulacion,es_empaque,match_comp_mp,comp_mp_nombre,comp_mp_proveedor,comp_mp_cprov,pct_N,pct_N-NH4,pct_N-NO3,pct_N-org,pct_N-ur,pct_P,pct_K,pct_CaO,pct_MgO,pct_S,pct_B,pct_Co,pct_Cu,pct_Fe,pct_Mn,pct_Mo,pct_SiO2,pct_Zn,pct_Na,kg_N,kg_N-NH4,kg_N-NO3,kg_N-org,kg_N-ur,kg_P,kg_K,kg_CaO,kg_MgO,kg_S,kg_B,kg_Co,kg_Cu,kg_Fe,kg_Mn,kg_Mo,kg_SiO2,kg_Zn,kg_Na
161,FERTIMENORES,FERTIMENORES,161,FERTIMENORES SN X KILO,105,CARBONATO DE CALCIO X KILO,,100,8.6957,8.6957,NO,proveedor_generico_misma_composicion,CARBONATO CALCIO,AGROCALES,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0
161,FERTIMENORES,FERTIMENORES,161,FERTIMENORES SN X KILO,16,ULEXITA X KILO,,70,6.087,6.087,NO,proveedor_ambiguo,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,FERTIMENORES,FERTIMENORES,161,FERTIMENORES SN X KILO,5,SULFATO DE CALCIO X KILO,,160,13.913,13.913,NO,proveedor_generico_misma_composicion,SULFATO CALCIO,AGROINSUMOS,2,0,0,0,0,0,0,0,22,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.2,0,20.8,0,0,0,0,0,0,0,0,0
161,FERTIMENORES,FERTIMENORES,161,FERTIMENORES SN X KILO,290,ROCA FOSFORICA 26% X KILO,,270,23.4783,23.4783,NO,proveedor_generico_misma_composicion,ROCA FOSFORICA-26,PRACO,1,0,0,0,0,0,26,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.2,0,97.2,0,0,0,0,0,0,0,0,0,0,0
161,FERTIMENORES,FERTIMENORES,161,FERTIMENORES SN X KILO,120,CAL DOLOMITA X KILO,,70,6.087,6.087,NO,proveedor_generico_misma_composicion,CAL DOLOMITA,BM,1,0,0,0,0,0,0,0,34,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,9.8,0,0,0,0,0,0,0,0,0,0
161,FERTIMENORES,FERTIMENORES,161,FERTIMENORES SN X KILO,274,SILICATO DE MAGNESIO X KILO,,100,8.6957,8.6957,NO,proveedor_ambiguo,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,FERTIMENORES,FERTIMENORES,161,FERTIMENORES SN X KILO,370,BENTONITA GRIS X KILO,,100,8.6957,8.6957,NO,proveedor_ambiguo,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,FERTIMENORES,FERTIMENORES,161,FERTIMENORES SN X KILO,74,KIESERITA EN POLVO X KILO,,50,4.3478,4.3478,NO,proveedor_generico_misma_composicion,KIESERITA,MANUCHAR,1,0,0,0,0,0,0,0,0,25,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,10,0,0,0,0,0,0,0,0,0
161,FERTIMENORES,FERTIMENORES,161,FERTIMENORES SN X KILO,214,VINAZA X KILO,,150,13.0435,13.0435,NO,proveedor_generico_misma_composicion,VINAZA,MANUELITA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,FERTIMENORES,FERTIMENORES,161,FERTIMENORES SN X KILO,23,SULFATO DE ZINC 35% X KILO,,70,6.087,6.087,NO,proveedor_generico_misma_composicion,SULFATO DE ZINC 35%,IMPORTADO,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,0
161,FERTIMENORES,FERTIMENORES,161,FERTIMENORES SN X KILO,30,SULFATO DE COBRE 22% X KILO,,10,0.8696,0.8696,NO,proveedor_generico_misma_composicion,SULFATO COBRE 22,,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0
